cile;nazev.1;statni-prislusnost;vedidk_core_researcher;titul-pred;jmeno;prijmeni;vedoucí jméno;vedoucí příjmení;vedoucí vedidk;ORCID vedouci;researcherid vedouci ;scopusID vbedouci;druhy vedouci jmeno;druhy vedouci příjmeni;druhy vedouci vedidk;ORCID druhy vedouci;researcherid druhy vedouci ;scopusID druhy vedouci
Předmětem navrhovaného projektu je studium kvantových systémů popsaných nízkodimenzionální Diracovou rovnicí. Zaměříme se především na analýzu uhlíkových nanostruktur, např. grafénu nebo uhlíkových nanotrubic, v přítomnosti vnějších polí nebo mechanických deformací. Při studiu jejich fyzikálních vlastností využijeme přesně řešitelné modely, kde skrtyté symetrie nebo (nelineární) supersymetrie hrají rozhodující úlohu při řešení dynamických rovnic a výpočtu fyzikálních veličin. Dále využijeme kvalitativních metod pro studium existence vázaných stavu v systémech, jejichž konfigurace neumožňuje přesné řešení pohybových rovnic. Výsledky budou publikovány v mezinárodních impaktovaných časopisech a předneseny na mezinárodních konferencích a seminářích.;Ústav jaderné fyziky AV ČR, v. v. i.;CZ;2540991;Ing.;Vít;Jakubský;;;;;;;;;;;;
"Tématem projektu je výzkum svazově uspořádaných monoidů se zvláštním důrazem na ty, které jsou úplně uspořádané. Protože dosud známé metody pro zkoumání této oblasti matematiky se zdají být vyčerpané, je záměrem projektu využít nových metod, jejichž podstata je geometrická, pro řešení těchto algebraických otázek novým způsobem. Mezi tyto nové nástroje patří geometrie tkání, což je odvětví diferenciální geometrie zavedené Blashkem a Bolem, a reprezentace pomocí Cayleyho monoidů; oba tyto přístupy dovolují přehledným způsobem geometricky zobrazit algebraické vlastnosti struktur.";Ústav informatiky AV ČR, v. v. i.;CZ;3187608;Ing.;Milan;Petrík;;;;;;;;;;;;
Brassinosteroidy jsou rostlinné hormony regulující růst a vývoj rostlin. Tyto steroidní hormony však mají také antiproliferační účinek na rakovinné buňky. Hlavním cílem projektu je racionální design nových derivátu brassinosteroidů, jejich dokování do krystalové struktury receptorové kinázy BRI1 a testování biologické aktivity v rostlinných a živočišných systémech. U nově připravených látek bude pomocí přímého vazebného testu s rekombinantním BRI1 receptorem ověřen jejich agonistický či antagonistický účinek. Pomocí rostlinných biotestů (test na druhém internodu fazole a etiolovaných rostlinách hrachu) bude popsán vztah mezi jejich strukturou a aktivitou. U syntetických derivátů brassinosteroidů bude rovněž studován vliv na viabilitu nádorových buněk (např. karcinom prsu a prostaty). U nejaktivnějších derivátů bude následně provedeno hodnocení jejich vlivu na buněčný cyklus a genovou expresi proteinu uplatňujících se v regulaci buněčného cyklu a apoptózy a jejich případná interakce s jadernými receptory pro steroidní hormony.;Ústav experimentální botaniky AV ČR, v. v. i.;CZ;8579377;RNDr.;Miroslav;Kvasnica;Jan;Šarek;8434573;;;;;;;;;
Předkládaný projekt se zaměřuje na výzkum přípravy nových amfifilních biologicky rozložitelných polymerních matric pro imobilizaci biologicky aktivních látek a jejich následné řízené uvolňování do okolního prostředí. Vyvíjené matrice budou odvozeny od kopolymerů chitosanu a polylaktidu. Vliv řízené funkcionalizace polyesterové části makromolekuly různými funkčními skupinami na výsledné vlastnosti matrice bude sledován pomocí moderních analytických technik. Významná pozornost bude věnována optimalizaci a modelování navrhovaných struktur s ohledem na parametry kinetiky uvolňování biologicky aktivních látek v různých prostředích.;Univerzita Tomáše Bati ve Zlíně / Fakulta technologická;CZ;6339603;prof. Ing.;Vladimír;Sedlařík;;;;;;;;;;;;
Je známo že spinové proudy jsou schopny vyvolat překlopení magnetizace. Za dříve studovaných podmínek vznikají jen pokud je na systém aplikováno elektrické pole. Před 2 roky byly experimentálně pozorovány spinové proudy generované femtosekundovým laserem. Tyto mohou být zapnuty na bezprecedentně krátkých časových škálách a mají specifické vlastnosti ve srovnání s proudy indukovanými polem, např. umožňují i zvýšit velikost magnetizace nad její hodnou při nulové teplotě. Tento projekt se zaměří na důkladný průzkum tohoto procesu a vývoj odpovídajícího teoretického popisu založeného na výpočtech z prvotních principů, který zatím nebyl formulován. Toto přispěje k pochopení fundamentálních fyzikálních mechanismů a umožnění kontroly nad vlastnostmi tohoto procesu, což by bylo velmi užitečné pro zařízení navrhovaná s využitím spintroniky.;Univerzita Karlova / Matematicko-fyzikální fakulta;CZ;2563231;RNDr.;Karel;Carva;Ilja;Turek;2000970;0000-0002-0604-6590;G-5553-2014;;;;;;;
Kompartmentalizace jádra je pro jaderné funkce zcela zásadní. Je zprostředkována interakcemi mezi oblastmi genomu a jaderným skeletem. Mezi nejvýznamnější součásti jaderného skeletu patří periferie jádra a komplexy jaderných pórů. Interakce s chromatinem v oblasti jaderné periferie zprostředkuje jaderná lamina. Jaderné póry se kromě zajišťování transportu ven a do jádra také podílí na určování polohy genů a na regulaci transkripce. Stále však není známa přesná struktura jaderné periferie, ani jak se navzájem ovlivňují jaderná lamina a jaderné póry ve svých funkcích jaderné kompartmentalizace. Tento projekt je zaměřen na rozklíčování vztahů mezi laminou, periferním nukleoskeletem a jejich úlohy pro strukturu a funkci jaderné periferie a pro její znovuutváření po jaderném dělení. Za cíl si dále klade vyzkoumat úlohu jaderného transportu v organisaci jaderné periferie a chromatinu. Současně představuje novou metodu zkoumání jaderného transportu, zejména pak otázku selektivity jednotlivých jaderných pórů.;Ústav molekulární genetiky AV ČR, v. v. i.;CZ;7215789;Mgr.;Jindřiška;Fišerová;Zdeněk;Opatrný;6601626;;;;;;;;;
"Navrhovaný projekt si klade za cíl přispět k oblasti robotického sběru dat v nestrukturovaném prostředí a to rozvojem nových adaptivních plánovacích algoritmů s teoreticky stanovenými vlastnostmi a jejich experimentálním ověřením. V projektu se zaměřujeme na kombinaci technik aktivního snímání, plánování a učení s cílem navrhnout unifikovaný rámec pro adaptivní plánování autonomního sběru dat za přítomnosti nejistot v senzorických měření a pohybu robotu v dynamickém a částečně známém prostředí. Navrhujeme zobecnit autonomní plánování sběru dat a zlepšit efektivitu autonomní mise prostřednictvím adaptivního přeplánování na základě nových informací získaných v průběhu mise. V projektu se zaměřujeme zejména na: 1) návrh specifických plánovacích algoritmů autonomního sběru dat založených na simultánním stanovení měřících míst a generování trajektorie jejich navštívení; 2) adaptivní plánovací algoritmy pro zlepšení odhadu ceny pohybu šestinohého kráčejícího robotu v náročném dynamickém terénu; 3) stanovení vlastností algoritmů a jejich empirické ověření v realistických experimentech.";České vysoké učení technické v Praze / Fakulta elektrotechnická;CZ;7341520;doc. Ing.;Jan;Faigl;;;;;;;;;;;;
Železo, které je nejrozšířenějším redoxně aktivním kovem v přírodě, se podílí na katalýze mnoha životně důležitých procesů. Tyto procesy často vyžadují náročné chemické reakce jako například funkcionalizaci nereaktivních C-H vazeb. V tomto návrhu se zaměříme na redoxní vlastnosti a reaktivitu mononukleárních nehemových enzymů se železem a jejich modelových komplexů (NHFe). Tyto systémy přitahují pozornost nejen pro jejich úlohy v živých organismech, ale také představují výzvu pro experimentální a teoretickou chemii. V případě teoretického přístupu jsou to především nároky na přesný popis jejich komplexních elektronových struktur, které znesnadňují mimojiné teoretické předpovědi redoxních potenciálů. Dnes chybí teoretický protokol, který by byl spolehlivý ve výpočtech redoxních potenciálů rozličných systémů NHFe, a tudíž spolehlivě použitelný pro předpovědi vlastností těch systémů, jejichž experimentální dostupnost je omezená. Vedle vývoje tohoto protokolu, výsledky předkládaného návrhu přispějí k pochopení obecných faktorů, které kontrolují selektivní reakční mechanismy.;Ústav fyzikální chemie J. Heyrovského AV ČR, v. v. i.;CZ;6559433;RNDr.;Martin;Srnec;Lubomír;Rulíšek;7465157;0000-0002-7769-7059;G-5277-2014;;;;;;;
Projekt je zaměřen na základní výzkum v progresivní oblasti elektricky malých zářičů. Úsilí bude soustředěno na vyřešení základních problémů komplikujících syntézu antény. Jmenujme především problém definice a výpočtu uložené energie, definice činitele jakosti, úplné poznání souvislost činitele jakosti a relativní šířky pásma, problém uložené energie v disperzním materiálu, modální a strukturální dekompozici antény a její obraz v parametrech antény. K řešení bude široce využit zdrojový koncept, který nabízí nový pohled na funkci antény a hlubší pochopení příspěvku jednotlivých částí k celkovým parametrům. Využit bude komplexní matematický aparát zahrnující variační a spektrální metody, moderní bázové rozklady jako jsou charakteristické módy, nebo heuristickou a konvexní optimalizaci. Veškeré výpočetní procedury budou implementovány v prostředí Matlab do již rozpracovaného balíku, který je vyvíjen na pracovišti. Projekt dává možnost mladému týmu se začlenit mezi elitní světová pracoviště určující současný vývoj o oblasti antén.;České vysoké učení technické v Praze / Fakulta elektrotechnická;CZ;1051008;Ing.;Lukáš;Jelínek;;;;;;;;;;;;
Adenylyl cyklázy, enzymy které produkují cAMP, jsou součástí mnoha důležitých a rozmanitých aspektů lidské biologie, např. embryogeneze, srdeční funkce, nebo procesu stárnutí. Předchozí experimenty ukázaly, že mnoho fyziologických efektů adenylyl cykláz je závislých na dané isoformě enzymu a zřejmě souvisí s patologií významných onemocnění. Tato pozorování iniciovala současnou snahu o přímé ovlivnění aktivity těchto enzymů se značným potenciálem pro terapeutické využití. Zásadním problémem při validaci adenylyl cykláz pro farmakologické přístupy je nedostatek aktivních a selektivních modulátorů. V rámci tohoto projektu kombinujeme metody výpočetní chemie, chemické syntézy a biologického testování v buňkách, s cílem vyvinout malé molekuly, které by byly schopné selektivně ovlivňovat tuto skupinu enzymů. Takto identifikované selektivní modulátory by umožnily významně posunout naše chápání funkcí adenylyl cykláz v základních buněčných procesech biomedicinálního významu.;Masarykova univerzita / Přírodovědecká fakulta;CZ;8218080;Mgr.;Jakub;Švenda;;;;;;;;;;;;
Speciace je klíčový evoluční proces podílející se na vzniku biologické rozmanitosti. Většina našich znalostí o mechanismech speciace pochází ze studií na organismech, které je možné křížit v laboratorních podmínkách. V rámci navrhovaného projektu budeme studovat mechanismy speciace u ptáků, kteří kvůli své dlouhé generační době nejsou přístupní klasickým genetickým metodám založeným na experimentálním křížení. Využijeme v přírodě se vyskytující hybridní populaci mezi dvěma sesterskými druhy pěvců, slavíkem obecným a slavíkem tmavým, a za použití nových genotypizačních metod založených na next generation sekvenování a ekologických přístupů objasníme genetickou podstatu několika znaků uplatňujících se v reprodukční izolaci a prozkoumáme míru mezidruhové introgrese napříč genomem. Získané výsledky nám pomohou objasnit důležitost různých reprodukčních bariér v ptačí speciaci, identifikovat kandidátní speciační geny a porozumět mechanismům odpovědným za velký vliv chromozomu Z v reprodukční izolaci, který je nápadným, leč dosud neuspokojivě vysvětleným projevem ptačí speciace.;Univerzita Karlova / Přírodovědecká fakulta;CZ;8386579;RNDr.;Radka;Reifová;;;;;;;;;;;;
Tento projekt se zaměřuje na studium zásadních jevů odehrávajících se na heterogenních iontově-výměnných membránách ve stejnosměrném elektrickém poli. Hlavním cílem projektu je nalezení spojitostí mezi povrchovými heterogenitami těchto membrán a vykazovaným chováním. Pro řešení tohoto projektu budou použity dva základní přístupy. V prvním přístupu nazývaném “bottom-up”  budou připraveny umělé membrány s navrženou prostorovou distribucí vodivých iontově-výměnných částic zalitých v nevodivé polymerní pryskyřici. Tyto umělé membrány budou studovány pomocí standardních elektrochemických experimentů a fluorescenční mikroskopie. Ve druhé přístupu nazývaném “top-down” budou podrobně analyzovány malé kousky komerčně dostupných membrán za použití nejmodernějších analytických přístrojů, jež budou poté charakterizovány pomocí elektrochemických měření a fluorescenční mikroskopie.;Vysoká škola chemicko-technologická v Praze / Fakulta chemicko-inženýrská;CZ;8305021;Ing.;Zdeněk;Slouka;;;;;;;;;;;;
Klíšťata přenáší široké spektrum patogenů, které ovlivňují zdraví lidí a způsobují značné ekonomické ztráty na zvířatech. Naším modelovým organismem je klíště Ixodes ricinus, hlavní přenašeč původců Lymské boreliózy, viru klíšťové encefalitidy a nově se objevující babeziózy v Evropě. Tento projekt je zaměřen na vztahy mezi přenášenými patogeny a imunitním systémem klíšťat, konkrétně nově identifikovanými molekulami klíštěcího komplementu (thioesterových proteinů a C3-konvertáz). S použitím funkční genomiky a dobře zavedené metody RNA interference budeme studovat interakci mezi molekulami komplementu, patogeny a klíštěcími hemocyty a určíme míru fagocytózy patogenů po vypnutí daných molekul. Molekuly s nejvýraznějším fenotypem budou nadále použity ke studiu přenosu borélií a babézií v nově zavedeném přenosovém laboratorním modelu. Ze získaných výsledků budeme moci určit molekuly, které se mohou stát vhodnými kandidáty v boji proti přenosu boréliií a babesií.;Biologické centrum AV ČR, v. v. i.;CZ;2869640;RNDr;Veronika;Urbanová;Karel;Vytřas;6143083;0000-0001-7589-4422;;;;;;;;
Předkládaná studie kombinuje multidisciplinární techniky za využití fylogenomických dat, koalescenčních přístupů a GIS modelování ekologických nik. Tento kombinovaný přístup umožní zhodnotit, jak divergují populace obojživelníků a jak vznikají nové druhy v na biodiverzitu bohatých tropických lesích. Hlavním cílem je studovat genetickou variabilitu napříč genomem, aby bylo možno empiricky a rigorózně vyhodnotit kryptickou druhovou diverzitu s využitím populačně-genetické koalescenční teorie. Dalším cílem společně v kombinaci s environmentálními a ekologickými charakteristikami modelového systému je zhodnotit faktory, které mohou být hnací silou při vzniku a udržování genetických divergencí. Komparace tří odlišných lesních formací (dvě vzdálené horské oblasti a mezi nimi se rozkládající nížinný les), extrémních životních strategií a habitatů nám umožní obecnější vhled do speciačních procesů u tropických obojživelníků a potažmo obecně v tropech.;Ústav biologie obratlovců AV ČR, v. v. i.;CZ;9779175;RNDr.;Václav;Gvoždík;Jiří;Moravec;7794770;;;;;;;;;
Neurální kmenové buňky (NKB) jsou multipotentní progenitory, ze kterých vznikají v savčím mozku neurony, gliové buňky a astrocyty. NKB obývají specifické prostředí nervové tkáně zvané niche, které jim pomáhá udržovat schopnost sebeobnovy/multipotence (tzv. kmenovost) a zároveň brání buňkám v nekontrolovatelném růstu či dělení. Jedním z nejvýraznějších znaků niche NKB je snížené zásobení kyslíkem (tzv. hypoxie) které je často spojováno právě s udržením kmenovosti. Hypoxií indukované faktory (HIF) jsou důležité regulátory adaptace na hypoxii a některé práce poukazují také na jejich úlohu v řízení sebeobnovy a diferenciace NKB. Bohužel, řídící mechanizmy a signální dráhy zapojené do výše popsaných procesů ještě nejsou zcela jasně popsané. V tomto projektu se snažíme na embryonálních kmenových buňkách (EKB) a na myším experimentálním modelu objasnit úlohu HIF ve vývoji NKB. Výzkum by měl zároveň přinést výsledky významné pro klinický výzkum jelikož HIF hrají důležitou roli při vývoji nervové soustavy, regeneraci poškozené tkáně či v regulaci rakovinného bujení, včetně gliomu.;Masarykova univerzita / Přírodovědecká fakulta;CZ;2705109;RNDr.;Josef;Večeřa;Dalibor;Kodrík;4230930;0000-0001-6109-1979;H-1522-2014;;;;;;;
Mnohoštětinatí červi představují význačnou složku dnešních, ale i fosilních mořských bentických ekosystémů. V dnešních mořích jsou považováni za vhodné indikátory změn prostředí a ukazatele změn biodiversity. Přesto jejich role ve fosilních ekosystémech dosud není přesně známa, a stejně tak jejich distribuce a diversita v čase a prostoru je z velké části neprobádána. Právě proto se v tomto projektu chceme zabývat vyhodnocením změn ve struktuře společenstev spodnopaleozoických mnohoštětinatců, způsobených klimatickými změnami na konci ordoviku, které vyústily v jedno z nejdrastičtějších vymírání v historii Země. Budeme vyhodnocovat diversitu mnohoštětinatců v čase a prostoru, distribuční principy, ale i jejich reakci na změny abiotických faktorů prostředí. Přispějeme také k poznání paleobiogeografie této skupiny, a to srovnáním vzorků z Baltiky a Peruniky (oblast peri-Gondwany), což osvětlí některé aspekty provincionalismu mnohoštětinatců ve svrchním ordoviku a spodním siluru.;Česká geologická služba;CZ;3753670;Mgr.;Petra;Tonarová;Oldřich;Fatka;9821120;0000-0003-1898-3319;B-3415-2017;55894091600;;;;;;
"Projekt se bude zabývat vlastnostmi spekter a rezonancí různých kvantových systémů. Měl by hlavně popisovat asymptotické vlastnosti operátorů Laplacova typu na grafech a varietách. Navrhovaná témata pokrývají asymptotiku rezonancí a odhady vlastních hodnot v kvanových grafech, studium dalších členů v asymptotickém chování laplaciánu ve dvou a třídimenziálních modelech a asymptotiku vlastních hodnot ve vlnové rovnici s tlumením na grafech a varietách. Tyto modely popisují širokou třídu mezoskopických systémů, jako např. chování elektronů v nanovláknech, vlnovodech a krystalech; dále můžeme nalézt aplikace v kvantové chemii, optice a studiu mikrovlnných systémů. Systém tzv. dikobrazích variet může modelovat transport kvantové částice přes mezoskopický systém. Asymptotické chování vlastních hodnot a jejich statistika hraje důležitou roli při studiu kvantového chaosu.";Univerzita Hradec Králové / Přírodovědecká fakulta;CZ;1648241;Mgr.;Jiří;Lipovský;Pavel;Exner;3138097;0000-0003-3704-7841;H-4061-2013;;;;;;;
