Pořadí;Odkaz na isvavai.cz;Kód výsledku;Dodavatel;Název v původním jazyce;Název v českém jazyce;Název v anglickém jazyce;Druh;Poddruh;Poddruh (alt);Jazyk;Obor - skupina;Obor;Vědní obor;Stav uplatnění výsledku;Rok uplatnění;Kód důvěrnosti;Počet výskytů výsledku;Počet tvůrců celkem;Počet domácích tvůrců;list;Popis výsledku v pův. jazyce;Popis výsledku anglicky;Klíčová slova;URL s plným textem výsledku;Odkaz na údaje z výzkumu;DOI výsledku;ID předkladatele;Předkladatel;Kategorie;Právní forma;Ičo;Název organizace;Ulice sídla;Město sídla;PSČ sídla;Země sídla;Region sídla;Kraj sídla;Okres sídla;Kód předkladatele OJ;Předkladatel OJ;Označení dodávky dat;Datum poslední dodávky;Specifikace;Kontrolní číslo;Název periodika / sborníku;ISBN;ISSN;e-ISSN;Svazek periodika;Číslo periodika v rámci uvedeného svazku;Název nakladatele resp. objednatele;Místo vydání;Stát vydavatele periodika;Počet stran knihy;Počet stran výsledku;Strana od-do;Kód UT WoS článku podle Web of Science;EID výsledku v databázi Scopus;Způsob publikování výsledku;Předpoklad zveřejnění textu výsledku;Místo konání akce;Datum konání nebo zahájení akce;Typ akce podle státní příslušnosti účastníků;Seznam návazností na VA **;Období hodnocení;Finální známka
11;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F16%3A10297081%21RIV17-MSM-11240___;RIV/00216208:11240/16:10297081;MSM;Exploring the Pathways of Adaptation an Avatar 3D Animation Procedures and Virtual Reality Arenas in Research of Human Courtship Behaviour and Sexual Reactivity in Psychological Research;;Exploring the Pathways of Adaptation an Avatar 3D Animation Procedures and Virtual Reality Arenas in Research of Human Courtship Behaviour and Sexual Reactivity in Psychological Research;C;;;eng;A - Společenské vědy;AN - Psychologie;0;U;2016;S;1;11;9;Binter, Jakub:Klapilová, Kateřina:Zikánová, Tereza:Nilsson, Tommy:Bártová, Klára:Krejčová, Lucie:Androvičová, Renáta:Lindová, Jitka:Průšová, Denisa:Wells, Timothy Jason:Říha, Daniel;There are many reasons for utilising 3D animation and virtual reality in sexuality research. Apart from providing a mean with which to (re)experience certain situations there are four main advantages: a) bespoke animated stimuli can be created and customized, which is especially important when researching paraphilia and sexual preferences, b) stimulus production is less expensive and easier to produce compared to real world stimuli, c) virtual reality allows us to capture data such as physiological reasons to stimuli, that we would not be able to otherwise (without resorting to self-report measures which are especially problematic in this research domain), d) ethical, legal, and health and safety issues are less complex since neither physical nor psychological harm is caused to animated characters allowing for the safe presentation of stimuli involving vulnerable targets. The animation sub-group has been exploring so far several production quality levels and various animation procedures in a number of available software. The aim is to develop static as well as dynamic, interactive sexual stimuli for sexual diagnostic and therapeutic purposes. We are aware of number of ethical issues related to the use of virtual reality in proposed research are analysed in this chapter.;There are many reasons for utilising 3D animation and virtual reality in sexuality research. Apart from providing a mean with which to (re)experience certain situations there are four main advantages: a) bespoke animated stimuli can be created and customized, which is especially important when researching paraphilia and sexual preferences, b) stimulus production is less expensive and easier to produce compared to real world stimuli, c) virtual reality allows us to capture data such as physiological reasons to stimuli, that we would not be able to otherwise (without resorting to self-report measures which are especially problematic in this research domain), d) ethical, legal, and health and safety issues are less complex since neither physical nor psychological harm is caused to animated characters allowing for the safe presentation of stimuli involving vulnerable targets. The animation sub-group has been exploring so far several production quality levels and various animation procedures in a number of available software. The aim is to develop static as well as dynamic, interactive sexual stimuli for sexual diagnostic and therapeutic purposes. We are aware of number of ethical issues related to the use of virtual reality in proposed research are analysed in this chapter.;partner choice:psychophysiology:paraphilia:virtual reality:sexual response:3D animation;;;;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV17-MSM-11240___/01:1;24.05.2017;RIV/00216208:11240/16:10297081!RIV17-MSM-11240___;191922493;Virtual Worlds: The Virtual Reality and Augmented Reality Intersections;978-1-84888-384-0;;;;;Inter-disciplinary press;Oxford;;92;10;35-44;;;;;;;;I, S;;
12;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00023752%3A_____%2F16%3A43914912%21RIV19-MSM-00023752;RIV/00023752:_____/16:43914912;MSM;Exploring the pathways of adaptation: avatar 3D animation procedures and virtual reality arenas in research of human courtship behaviour and sexual reactivity in psychological research;;Exploring the pathways of adaptation: avatar 3D animation procedures and virtual reality arenas in research of human courtship behaviour and sexual reactivity in psychological research;C;;;eng;-;-;50103;U;2016;S;1;11;10;Binter, Jakub:Klapilová, Kateřina:Zikánová, Tereza:Nilsson, Tommy:Bártová, Klára:Krejčová, Lucie:Androvičová, Renáta:Lindová, Jitka:Průšová, Denisa:Wells, Timothy Jason:Říha, Daniel;There are many reasons for utilising 3D animation and virtual reality in sexuality research. Apart from providing a mean with which to (re)experience certain situations there are four main advantages: a) bespoke animated stimuli can be created and customized, which is especially important when researching paraphilia and sexual preferences, b) stimulus production is less expensive and easier to produce compared to real world stimuli, c) virtual reality allows us to capture data such as physiological reasons to stimuli, that we would not be able to otherwise (without resorting to self-report measures which are especially problematic in this research domain), d) ethical, legal, and health and safety issues are less complex since neither physical nor psychological harm is caused to animated characters allowing for the safe presentation of stimuli involving vulnerable targets. The animation sub-group has been exploring so far several production quality levels and various animation procedures in a number of available software. The aim is to develop static as well as dynamic, interactive sexual stimuli for sexual diagnostic and therapeutic purposes. We are aware of number of ethical issues related to the use of virtual reality in proposed research are analysed in this chapter.;There are many reasons for utilising 3D animation and virtual reality in sexuality research. Apart from providing a mean with which to (re)experience certain situations there are four main advantages: a) bespoke animated stimuli can be created and customized, which is especially important when researching paraphilia and sexual preferences, b) stimulus production is less expensive and easier to produce compared to real world stimuli, c) virtual reality allows us to capture data such as physiological reasons to stimuli, that we would not be able to otherwise (without resorting to self-report measures which are especially problematic in this research domain), d) ethical, legal, and health and safety issues are less complex since neither physical nor psychological harm is caused to animated characters allowing for the safe presentation of stimuli involving vulnerable targets. The animation sub-group has been exploring so far several production quality levels and various animation procedures in a number of available software. The aim is to develop static as well as dynamic, interactive sexual stimuli for sexual diagnostic and therapeutic purposes. We are aware of number of ethical issues related to the use of virtual reality in proposed research are analysed in this chapter.;partner choice:psychophysiology:paraphilia:virtual reality:sexual response:3D animation;;;;ico:00023752;Národní ústav duševního zdraví;I;SPO;23752;Národní ústav duševního zdraví;Topolová;Klecany,;748;CZ;CZ02;CZ020;CZ0209;;;RIV19-MSM-00023752/02:2;29.04.2019;RIV/00023752:_____/16:43914912!RIV19-MSM-00023752;192058580;Virtual Worlds: The Virtual Reality and Augmented Reality Intersections;978-1-84888-384-0;;;;;Inter-Disciplinary Press;Oxford;;92;10;35-44;;;;;;;;P (ED2.1.00/03.0078);H20;4
13;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11310%2F16%3A10325937%21RIV17-MSM-11310___;RIV/00216208:11310/16:10325937;MSM;Hormonal and behavioral changes in young adult heterosexual men during competition for a female partner: hormonal and behavioral analyses;;Hormonal and behavioral changes in young adult heterosexual men during competition for a female partner: hormonal and behavioral analyses;O;;;eng;A - Společenské vědy;AN - Psychologie;0;U;2016;S;1;11;3;Binter, Jakub:Wells, Timothy Jason:Leongómez, Juan David:Šebesta, Pavel:Bártová, Klára:Krejčová, Lucie:Zikánová, Tereza:Androvičová, Renáta:Ježková, Kateřina:Lindová, Jitka:Klapilová, Kateřina;Men modify their behavior during interaction with a desired partner and in competition with other male suitors. For example, para-verbal behavior - deeper voice, and nonverbal behavior - more dominant posture and gestures communicate high status. Male hormonal profiles are also expected to change in the context of mate competition - specifically, increases in testosterone (T) and cortisol (C). To test this, we developed a scenario where young adult men (aged between 16 and 18 y.o.) competed over a potential romantic date with a female - 10 young adult women (aged between 15 and 17 y.o.). Each male recorded a short (~1 minute) introductory video, which was later used for analyses of nonverbal behavior. Participants were then exposed to situation a) win (chosen by female) and b) loss (rejection in favor of a rival). Hormonal analyses (T and C from saliva assays) as well as vocal displays (pitch and intensity) were measured following each situation and compared to pretest baseline levels. Nonverbal displays were analyzed using InterAct software, behavior was coded for length and frequency. Preliminary results appear to show the modulation of male voices with respect to the competition situations -lower pitch voice following the win situation and higher pitched voice after rejection. There appears to be an effect of vocal intensity - male voices are louder following the win situation and quieter after rejection. We also found that nonverbal displays associated with dominance correlated with T levels. C levels correlated with friendly nonverbal displays but did not relate to nonverbal displays associated with dominance or stress. These results suggest that there may be specific behavioral and hormonal patterns associated with courtship situations, dominance displays unsurprisingly relate to testosterone but friendly displays were unexpectedly related to cortisol. Ethical issues will be discussed.;Men modify their behavior during interaction with a desired partner and in competition with other male suitors. For example, para-verbal behavior - deeper voice, and nonverbal behavior - more dominant posture and gestures communicate high status. Male hormonal profiles are also expected to change in the context of mate competition - specifically, increases in testosterone (T) and cortisol (C). To test this, we developed a scenario where young adult men (aged between 16 and 18 y.o.) competed over a potential romantic date with a female - 10 young adult women (aged between 15 and 17 y.o.). Each male recorded a short (~1 minute) introductory video, which was later used for analyses of nonverbal behavior. Participants were then exposed to situation a) win (chosen by female) and b) loss (rejection in favor of a rival). Hormonal analyses (T and C from saliva assays) as well as vocal displays (pitch and intensity) were measured following each situation and compared to pretest baseline levels. Nonverbal displays were analyzed using InterAct software, behavior was coded for length and frequency. Preliminary results appear to show the modulation of male voices with respect to the competition situations -lower pitch voice following the win situation and higher pitched voice after rejection. There appears to be an effect of vocal intensity - male voices are louder following the win situation and quieter after rejection. We also found that nonverbal displays associated with dominance correlated with T levels. C levels correlated with friendly nonverbal displays but did not relate to nonverbal displays associated with dominance or stress. These results suggest that there may be specific behavioral and hormonal patterns associated with courtship situations, dominance displays unsurprisingly relate to testosterone but friendly displays were unexpectedly related to cortisol. Ethical issues will be discussed.;Courtship: Cortisol: Dating:Testosterone:Dominance;;;;orjk:11310;Univerzita Karlova / Přírodovědecká fakulta;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11310;Přírodovědecká fakulta;RIV17-MSM-11310___/01:1;24.05.2017;RIV/00216208:11310/16:10325937!RIV17-MSM-11310___;191923359;;;;;;;;;;;;;;;;;;;;I;;
14;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F16%3A10296594%21RIV17-GA0-11240___;RIV/00216208:11240/16:10296594;GA0;Souvislost maskulinity - femininity a partnerské spokojenosti u dlouhodobých mužských homosexuálních párů;Souvislost maskulinity - femininity a partnerské spokojenosti u dlouhodobých mužských homosexuálních párů;Homogamy in masculinity-femininity is positively linked to relationship quality;D;;;cze;A - Společenské vědy;AN - Psychologie;0;U;2016;S;2;6;3;Bártová, Klára:Štěrbová, Zuzana:Martinec Nováková, Lenka:Binter, Jakub:Varella, Marco Antonio:Varella Valentova, Jaroslava;V předkládaném výzkumu jsme se zaměřily na homogamii v kontextu dimenze maskulinity-femininity a na její vliv na partnerskou spokojenost u dlouhodobých homosexuálních mužských párů. Výsledky naší studie ukázaly, že přestože si partneři nebyli v dimezi maskulinity-femininity reálně podobní, tak homosexuální muži byli více spokojení, pokud byl jejich partner obdobně maskulinní či femininní jako oni sami;The main aims of this study were to test similarity of masculinity-femininity in long-term male same-sex couples from the Czech Republic, and examine whether this similarity predicts higher relationship satisfaction. In study 1, respondents (N = 30) and their partners completed the Dyadic Adjustment Scale (DAS) and the Childhood gender nonconformity (CGN). In Study 2, participants (N = 40) and their partners completed DAS and the Gender Diagnosticity (GD). Results showed that the partners were no more alike than individuals paired at random in their CGN, but greater similarity in CGN between partners increased Dyadic Cohesion and Affectional Expression. Partners were also not alike in their GD, but greater similarity in GD between partners increased Dyadic Consensus.;Relationship satisfaction:Gender diagnosticity:Childhood gender nonconformity:Male same-sex couples;;;;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV17-GA0-11240___/02:1;11.05.2017;RIV/00216208:11240/16:10296594!RIV17-GA0-11240___;191881495;Sborník textů z XXVII. Bohnických sexuologických dnů;978-80-7204-935-6;;;;;CERM;Brno;;;8;8-15;;;;;Praha, Česká Republika;26.02.2015;WRD;S, P (GP13-16959P);;
15;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F16%3A10325933%21RIV17-GA0-11240___;RIV/00216208:11240/16:10325933;GA0;Use of Virtual Reality and Human-Computer Interface for Diagnostic and Treatment Purposes in Human Sexuality Research;;Use of Virtual Reality and Human-Computer Interface for Diagnostic and Treatment Purposes in Human Sexuality Research;D;;;eng;A - Společenské vědy;AC - Archeologie, antropologie, etnologie;0;U;2016;S;2;3;3;Říha, Daniel:Bártová, Klára:Binter, Jakub;Virtual reality technology allows designing of immersive virtual environment that might be used for diagnostics and treatment of persons with minor sexual preference that is ego-dystonic or is perceived as dangerous to society. We do operate with the theoretical framework that is based on sexual motivational system, which we reintroduce. The eye tracking, electroencephalography and galvanic skin response in combination with phalopletysmography - the change of penile tumescence in male users are data to be collected to distinguish between sexual arousal and stress. The bio-cybernetic loop will consist of combination of positive and negative feedback loop to diverge the scenario. The biofeedback training should allow us to shape the preference by employing biofeedback training of suppression of the arousal to previously created scenario. This procedure might allow better diagnostics and treatment. Although we have in mind individualization of scenario creates problems in comparison during diagnostic phase, and is more important in case of future therapy. The resulting adaptable GNU software will be available to partner and other interested research centers.;Virtual reality technology allows designing of immersive virtual environment that might be used for diagnostics and treatment of persons with minor sexual preference that is ego-dystonic or is perceived as dangerous to society. We do operate with the theoretical framework that is based on sexual motivational system, which we reintroduce. The eye tracking, electroencephalography and galvanic skin response in combination with phalopletysmography - the change of penile tumescence in male users are data to be collected to distinguish between sexual arousal and stress. The bio-cybernetic loop will consist of combination of positive and negative feedback loop to diverge the scenario. The biofeedback training should allow us to shape the preference by employing biofeedback training of suppression of the arousal to previously created scenario. This procedure might allow better diagnostics and treatment. Although we have in mind individualization of scenario creates problems in comparison during diagnostic phase, and is more important in case of future therapy. The resulting adaptable GNU software will be available to partner and other interested research centers.;Diagnostics:Sexual paraphilia:Biofeedback:Bio-cybernetic loop:Virtual reality;http://link.springer.com/chapter/10.1007/978-3-319-40406-6_28;;10.1007/978-3-319-40406-6;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV17-GA0-11240___/02:1;11.05.2017;RIV/00216208:11240/16:10325933!RIV17-GA0-11240___;191881500;Lecture Notes in Computer Science;978-3-319-40405-9;0302-9743;;;;Neuveden;Toronto, Kanada;;;12;294-305;;2-s2.0-84977587074;;;Toronto, Kanada;17.07.2016;WRD;I, S, P (GA16-18891S);;
16;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00023752%3A_____%2F16%3A43915343%21RIV17-MSM-00023752;RIV/00023752:_____/16:43915343;MSM;Virtuální realita jako nástroj pro testování a remediaci duševních poruch;Virtuální realita jako nástroj pro testování a remediaci duševních poruch;Virtual reality as a tool for assessment and remediation of mental disorders;C;;;cze;F - Lékařské vědy;FL - Psychiatrie, sexuologie;0;U;2016;S;2;4;4;Fajnerová, Iveta:Nekovářová, Tereza:Binter, Jakub:Klapilová, Kateřina;Kapitola pojednává o různorodých aplikacích virtuální reality v prostředí klinického výzkumu a praxe. Navzdory určitým omezením, přináší virtuální realita vysokou míru kontroly nad průběhem testování a má potenciál vytvářet podmínky blízké reálným životním situacím. Virtuální realita se proto využívá nejen jako všestranný nástroj vyšetření kognitivních funkcí, ale také v oblasti kognitivní remediace, neboli v tréninku zaměřeném na nápravu narušených funkcí. Využití této technologie je ale mnohem širší, využívá se např. k tvorbě specifických stimulů, které jsou jinak velmi náročně získatelné z finančních, etických a zdravotních důvodů (např. tvorba virtuálních postav pro parafilní jedince se sexuální deviací). V kapitole se zabýváme také specifickými pojmy jako jsou teleprezence nebo imerze, a okrajově se potýkáme také s problematikou gamblerství a nežádoucího efektu hraní virtuálních her na duševní zdraví dětí.;The chapter discusses various applications of virtual reality in clinical research and practice. Despite certain limitations, virtual reality allows high degree of control over the testing procedure and it has the potential to create real life situations. Virtual reality is therefore used not only as a tool for examination of cognitive functioning, but also in the field of cognitive remediation, training aimed at correction of disturbed functions. However, possible applications of virtual technology are much larger, for example for designing of specific stimuli that are otherwise very difficult to obtain due to financial, ethical or medical reasons (eg. virtual characters for paraphiliac individuals with sexual deviance). The chapter also deals with specific concepts such as telepresence and immersion. We also discuss the problematic topics, such as gambling and undesirable effects of virtual gaming on children's' mental health of children.;social abilities:sexuology:gambling:remediation:cognitive functions:virtual reality;;;;ico:00023752;Národní ústav duševního zdraví;I;SPO;23752;Národní ústav duševního zdraví;;Klecany;Klecany;CZ;CZ02;CZ020;CZ0209;;;RIV17-MSM-00023752/01:1;28.04.2017;RIV/00023752:_____/16:43915343!RIV17-MSM-00023752;191862739;Mozek a jeho člověk, mysl a její nemoc;978-80-7492-283-1;;;;;Galén;Praha;;382;12;351-362;;;;;;;;P (7F14236), P (LO1611);;
17;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F15%3A10292611%21RIV16-GA0-11240___;RIV/00216208:11240/15:10292611;GA0;Sexual Satisfaction, Sexual Compatibility, and Relationship Adjustment in Couples : The Role of Sexual Behaviors, Orgasm, and Men's Discernment of Women's Intercourse Orgasm;;Sexual Satisfaction, Sexual Compatibility, and Relationship Adjustment in Couples : The Role of Sexual Behaviors, Orgasm, and Men's Discernment of Women's Intercourse Orgasm;J;;;eng;A - Společenské vědy;AN - Psychologie;0;U;2015;S;2;5;4;Klapilová, Kateřina: Brody, Stuart Mitchel: Krejčová, Lucie: Binter, Jakub: Husárová, Barbara;Introduction Research indicated that (i) vaginal orgasm consistency is associated with indices of psychological, intimate relationship, and physiological functioning, and (ii) masturbation is adversely associated with some such measures. Aim The aim of this study was to examine the association of various dyadic and masturbation behavior frequencies and percentage of female orgasms during these activities with: (i) measures of dyadic adjustment, (ii) sexual satisfaction, and (iii) compatibility perceivedby both partners. Methods In a sample of 85 Czech long-term couples (aged 20-40, mean relationship length 5.4 years), both partners provided details of recent sexual behaviors and completed sexual satisfaction, Spanier dyadic adjustment, and Hurlbert sexual compatibility measures. Multiple regression analyses were used. Results In multivariate analyses, women's dyadic adjustment is independently predicted by greater vaginal orgasm consistency and lower frequency of women's masturbation.;Introduction Research indicated that (i) vaginal orgasm consistency is associated with indices of psychological, intimate relationship, and physiological functioning, and (ii) masturbation is adversely associated with some such measures. Aim The aim of this study was to examine the association of various dyadic and masturbation behavior frequencies and percentage of female orgasms during these activities with: (i) measures of dyadic adjustment, (ii) sexual satisfaction, and (iii) compatibility perceivedby both partners. Methods In a sample of 85 Czech long-term couples (aged 20-40, mean relationship length 5.4 years), both partners provided details of recent sexual behaviors and completed sexual satisfaction, Spanier dyadic adjustment, and Hurlbert sexual compatibility measures. Multiple regression analyses were used. Results In multivariate analyses, women's dyadic adjustment is independently predicted by greater vaginal orgasm consistency and lower frequency of women's masturbation.;Sexual Intercourse: Relationship Satisfaction: Dyadic Adjustment: Sexual Compatibility: Masturbation: Vaginal Orgasm: Sexual Satisfaction;http://onlinelibrary.wiley.com/doi/10.1111/jsm.12766/full;;10.1111/jsm.12766;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova v Praze;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV16-GA0-11240___/01:1;11.05.2016;RIV/00216208:11240/15:10292611!RIV16-GA0-11240___;191777097;Journal of Sexual Medicine;;1743-6095;;12;3;Journal of Sexual Medicine;;US;;9;667-675;3,5075E+11;2-s2.0-84923929099;;;;;;I, S, S, P (GPP407/12/P819);;
18;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F14%3A10272130%21RIV15-MSM-11240___;RIV/00216208:11240/14:10272130;MSM;Prevalence zoofilního chování v české sadomasochistické komunitě;Prevalence zoofilního chování v české sadomasochistické komunitě;Prevalence of zoophilia (sexual contact with animals) in Czech sado-masochistic comunity;D;;;cze;A - Společenské vědy;AN - Psychologie;0;U;2014;S;1;9;5;Schejbalová, Andrea: Klapilová, Kateřina: Bártová, Klára: Varella Valentova, Jaroslava: Krejčová, Lucie: Weiss, Petr: Kleisner, Karel: Keil, Petr: Binter, Jakub;Tento výzkum se soustředil na ochotu věnovat se sexuálním aktivitám zahrnujícím sexuální kontakt se zvířetem v sado-masochistické (SM) komunitě a jeho zjištěním je, že v SM komunitě je vyšší procento jedinců, kteří by byli takové chování ochotni provozovat (asi 9%), než v běžné populaci (2-5%). Tento výsledek je zajímavý z pohledu sexuologie, protože podporuje zjištění, že sexuální vzrušení je možné zvýšit skrze praktiky, které by se za běžných podmínek byly znechucující a nepreferované a to zejména, usubmisivních jedinců.;This study focussed on will to have sexual contact with animals in sado-masochistic (SM) comunity. Its most important finding is that within the comunity the prevalence is much higher (aprox. 9 %) than in regular population (2-5%). This result is important and relates to phenomenon of disgust increasing sexual arrousal through realization of sexual practices that would normally be foud disgusting. This phenomenon pays especially for submissives.;sado-masochism: zoophilia: disgust: sexual arrousal;;;;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova v Praze;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV15-MSM-11240___/01:1;29.05.2015;RIV/00216208:11240/14:10272130!RIV15-MSM-11240___;152343736;Metodologické problémy identifikace a interpretace sociálních deviací;978-80-905443-1-4;;;;;Masarykova česká sociologická společnost. Sekce sociální patologie;Praha;;;4;129-131;;;;;Červená nad Vltavou;09.04.2014;WRD;I, S;;
19;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F14%3A10285114%21RIV15-GA0-11240___;RIV/00216208:11240/14:10285114;GA0;Vocal modulation during courtship increases proceptivity even in naive listeners;;Vocal modulation during courtship increases proceptivity even in naive listeners;J;;;eng;A - Společenské vědy;AN - Psychologie;0;U;2014;S;4;7;4;Leongomez, Juan David: Binter, Jakub: Kubicová, Lydie: Stolařová, Petra: Klapilová, Kateřina: Havlíček, Jan: Roberts, S. Craig;Speakers modulate their voice when talking to infants, but we know little about subtle variation in acoustic parameters during speech in adult social interactions. Because tests of perception of such variation are hampered by listeners' understanding ofsemantic content, studies often confine speech to enunciation of standard sentences, restricting ecological validity. Furthermore, apparent paralinguistic modulation in one language may be underpinned by specific parameters of that language. Here we circumvent these problems by recording speech directed to attractive or unattractive potential partners or competitors, and testing responses to these recordings by naive listeners, across both a Germanic (English) and a Slavic (Czech) language. Analysis ofacoustic parameters indicates that men's voices varied F-o most in speech towards potential attractive versus unattractive mates, while modulation of women's Fo variability was more sensitive to competitors, with higher variability when t;Speakers modulate their voice when talking to infants, but we know little about subtle variation in acoustic parameters during speech in adult social interactions. Because tests of perception of such variation are hampered by listeners' understanding ofsemantic content, studies often confine speech to enunciation of standard sentences, restricting ecological validity. Furthermore, apparent paralinguistic modulation in one language may be underpinned by specific parameters of that language. Here we circumvent these problems by recording speech directed to attractive or unattractive potential partners or competitors, and testing responses to these recordings by naive listeners, across both a Germanic (English) and a Slavic (Czech) language. Analysis ofacoustic parameters indicates that men's voices varied F-o most in speech towards potential attractive versus unattractive mates, while modulation of women's Fo variability was more sensitive to competitors, with higher variability when t;Intrasexual competition: Mate choice: Fundamental frequency: Human voice;http://dx.doi.org/10.1016/j.evolhumbehav.2014.06.008;;10.1016/j.evolhumbehav.2014.06.008;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova v Praze;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV15-GA0-11240___/01:1;11.05.2015;RIV/00216208:11240/14:10285114!RIV15-GA0-11240___;152550117;Evolution and Human Behavior;;1090-5138;;35;6;Evolution and Human Behavior;;US;;8;489-496;3,43356E+11;;;;;;;I, S, S, P (GAP407/10/1303);;
20;https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F00216208%3A11240%2F12%3A10138808%21RIV14-GA0-11240___;RIV/00216208:11240/12:10138808;GA0;Sex differences in the incidence of sexual fantasies focused on evolutionary relevant objects;;Sex differences in the incidence of sexual fantasies focused on evolutionary relevant objects;J;;;eng;A - Společenské vědy;AN - Psychologie;0;U;2012;S;3;5;2;Binter, Jakub: Leongómez, Juan D.: Moyano, Nieves: Valentová, Jaroslava: Klapilová, Kateřina;Sexual fantasies (SF) are an integral part of human sexuality. In contrast with sexual behavioural displays, which rely to great extend on social factors, they are ideal for studying cognitive adaptations related to sexual differences in mate preferencesand motivations. This article examines sex differences in the incidence of sexual fantasies highlighting evolutionary relevant objects across the sample of university students currently involved in long-term relationship (142 women and 121 men). In addition, the intentions to perform sexual activities with these objects were observed. Objects in the checklist of SF (10) were chosen based on evolutionary-psychological literature (e.g., stranger, same sex partner, multiple partner, and inexperienced partner) and were reflected assuming reproductive strategies of both sexes. Supporting evolutionary assumptions, men fantasised more about partners who provide the possibility of increasing fitness with low investment (e.g., multiple partners;Sexual fantasies (SF) are an integral part of human sexuality. In contrast with sexual behavioural displays, which rely to great extend on social factors, they are ideal for studying cognitive adaptations related to sexual differences in mate preferencesand motivations. This article examines sex differences in the incidence of sexual fantasies highlighting evolutionary relevant objects across the sample of university students currently involved in long-term relationship (142 women and 121 men). In addition, the intentions to perform sexual activities with these objects were observed. Objects in the checklist of SF (10) were chosen based on evolutionary-psychological literature (e.g., stranger, same sex partner, multiple partner, and inexperienced partner) and were reflected assuming reproductive strategies of both sexes. Supporting evolutionary assumptions, men fantasised more about partners who provide the possibility of increasing fitness with low investment (e.g., multiple partners;Sex differences: Mating strategy: Evolutionary psychology: Sexual fantasy;http://puvodni.mzm.cz/Anthropologie/downloads/articles/Binter_2012_p83-93.pdf;;;orjk:11240;Univerzita Karlova / Fakulta humanitních studií;J;VVS;216208;Univerzita Karlova v Praze;Ovocný trh 560;Praha;11000;CZ;CZ01;CZ010;CZ0100;11240;Fakulta humanitních studií;RIV14-GA0-11240___/01:1;29.05.2014;RIV/00216208:11240/12:10138808!RIV14-GA0-11240___;56756247;Anthropologie - International Journal of the Science of Man;;0323-1119;;50;1;Anthropologie - International Journal of the Science of Man;;CZ;;11;83-93;;;;;;;;I, S, S, P (GPP407/12/P819);;
